Metric,2025,2026,2027,2028,2029
CAPEXCost,60000.0,60000.00000000001,24090.586666666455,2500.0,0.0
OPEXCost,23998.067450000002,59731.71344999999,166533.405325,329661.03032499994,474429.15532499994
#50KWChargers,0.0,0.0,0.0,0.0,0.0
#400KWChargers,1.0,0.0,0.0,1.0,0.0
SolarCapacity,66.66666666666667,133.33333333333334,0.0,0.0,0.0
BatteryCapacity,91.66666666666667,0.0,88.56833333333256,0.0,0.0
SolarExportRevenue,0.0,0.0,0.0,0.0,0.0
BatteryExportRevenue,0.0,0.0,0.0,0.0,0.0
TotalCost,83998.06745,119731.71345,190623.99199166647,332161.03032499994,474429.15532499994
